
Project: B
Staff: STAFF1
-----------------------------
Timestamp	Measurement       
-----------------------------
1462913754	79.7442
1462913755	95.1135
1462913755	77.8215
1462913756	55.0324
1462913757	74.6837
1462913758	60.804
1462913758	94.8961
1462913758	98.4161
1462913759	64.5588
1462913759	86.8978
1462913771	87.8863
1462913771	74.1427
1462913772	95.4991
1462913773	62.8695
1462913773	93.1176
1462913773	76.2622
1462913774	89.6141
1462913774	80.0095
1462913775	80.4612
1462913789	79.9854
1462913790	57.4163
1462913791	85.67
1462913791	71.8457
1462913792	85.5464
1462913792	67.2765


Project: B
Staff: STAFF2
-----------------------------
Timestamp	Measurement       
-----------------------------
1462913763	63.9602
1462913763	87.5468
1462913763	50.1849
1462913764	99.392
1462913764	91.4257
1462913783	82.1259
1462913783	60.5397
1462913783	50.6072
1462913784	62.7897
1462913784	88.8814
1462913785	98.8209
1462913785	55.7964
1462913795	78.2594
1462913795	88.2599
1462913796	85.5514
1462913797	69.0922
1462913797	76.5148
1462913797	86.6827
1462913798	60.3622
1462913798	60.5228
1462913799	51.4

